review_text,rating,date,bank,source,app_name,app_id
Good,5,2024-08-26,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
"From Ethiopian Internet banking Abbisiniya Internet banking application is the most worst boring and slower app, please fix that",1,2024-05-01,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
I love boa but the mobile app isn't as good as the older version when the app gets update it gets worse and worse it doesn't even work..fix the issue with that,2,2024-04-28,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
The application is extremely slow.,1,2024-03-16,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
This app is very wonderful,5,2024-04-24,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
nice,5,2024-04-21,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Usfull,5,2024-04-23,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
"Slow login, crashes frequently, annoying app ever. Since you updated this app, it's been extremely unhelpful.",1,2024-05-01,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Good,1,2024-05-03,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
"Is this app fake i try it not working it say please try again later, unable to make transactions what is the purpose of this app . If it is not working delete it",1,2024-07-25,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
It keeps clashing down What a crass stupid app is this... You forced me to update after I transferred money and now I can't open it,1,2024-05-03,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Best,5,2024-04-24,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Pls improve your mobile banking app it's doesn't work constantly after i updated the new version of your app try to improve,1,2024-05-05,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
It is always crushing it loged me out all the time,1,2024-04-28,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Not comfortable with this version. Its hard to down it load Developer option is not allowed to use it as usual.,5,2024-04-30,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Very good,5,2024-04-21,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Good but app lait,4,2024-02-11,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
"The app never worked properly, specially on android 14, do better",1,2024-05-02,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
